entryDate,entryContent
2022-11-23,The opportunity to visit my family to pack up and prepare for tomorrow
2022-11-22,Seeing President Smith at the temple
2022-11-21,"Work
A warmer night than it has been so I wasn't as cold when I forgot my coat
Being seen by the bus in the dark"
2022-11-20,Spending time with my family and Mom helping me finish my homework
2022-11-19,Remembering to grab my coat after work and be able to catch the bus when I came back from grabbing my coat
2022-11-17,"Going to the temple with my ward
Getting food afterward"
2022-11-15,God's help with focus and Tyler's help with our assignment
2022-11-14,Bowling with my ward
2022-11-13,"Brother Bytheway's devotional today
Inspiration from the Spirit"
2022-11-12,The opportunity to get homework done.
2022-11-11,Catching the bus to work when it only had one minute to it was supposed to get there and I was just getting off the bus waiting to cross the street
2022-11-10,"Meeting a nice lady at the bus stop who had a dog

Getting to institute about 10 minutes late but not missing any of the lesson because the other students were taking a survey with the teacher out of the room
I also got to take the survey.

 Having the thought to read the section before the one we were supposed to be scheduled to read in institute and that was the 1 we talked about"
2022-11-09,Having class
2022-11-08,"Getting a pizza for lunch when I would have had a hard time getting lunch otherwise certainly at least for a few hours.
The pizza was snuck to me by some people filming probably a promotional video. It was a little awkward when I noticed someone behind me."
2022-11-07,Remembering the Lord's tender mercy of helping me get my bike down the bike track on the stairs faster and easier than the last time where it felt unsafe and more scary
2022-11-06,"Talking with the Schomases (stake family history consultants)

Getting my homework done"
2022-11-05,"Making a lady's day: "" You have such a kind friendly smile and I needed that today.""

Catching the bus on time

Realizing that an assignment I thought I'd missed because of a deadline is actually due tomorrow."
2022-11-04,"Inspiration to listen to Mosiah 24 about burdens being lifted

Singing in the choir with other institutes of religion in Utah Valley"
2022-11-03,"My back was hurting and I was late to an appointment, but then receiving a reminder from the Spirit that Lunch Bunch was today at the institute building.
I hadn't eaten breakfast, but was able to get lunch for $3."
2022-11-02,Finding my winter gloves immediately after praying to find them
2022-11-01,Institute choir
2022-10-30,"Stake Conference

I missed the leadership session due to sleeping in, but I made the general session which was good and went well"
2022-10-29,"The miracle that I was not 20 minutes late to work

An amazing stake conference this evening on miracles"
2022-10-28,The opportunity to do baptisms in the temple
2022-10-24,"Getting to ride in the car to take Sophie to school before I went back home

Getting 100% on my test I took yesterday especially since I got cut off by the limit on the very last letter of my typed answer

Being able to catch the bus this evening on the way home from work"
2022-10-23,"Spending time with my family
Getting almost all of my homework done

Snow
Staying overnight at my family's house"
2022-10-22,Work and a warm home
2022-10-21,The ward Halloween activity
2022-10-20,"A quote from the Happiness Project app
""You are needed even when you don't see your worth."""
2022-10-19,"Walking to school with Ben Davis
Playing a game with the ASL lunch group
A spiritually charged institute class this evening"
2022-10-18,A temple trip with Carson Price
2022-10-17,"A blessing from God through Ben
Getting a call from Elder Price and going to the temple with him tomorrow!"
2022-10-16,The opportunity to make banana bread with my roommate Chris
2022-10-15,"Visiting Deseret Book
Giving a gift to Ben Davis"
2022-10-14,The chance to visit home
2022-10-13,"The Spirit's gentle confirmation that I am working at the right place doing good, and to stay."
2022-10-12,"Seeing my brother Will on my way to class and him hugging me

Seeing Brother Boyle briefly at the institute building

God looking out for my physical and spiritual well-being by providing me with dinner and an institute class tonight at the church building right next to my apartments."
2022-10-11,Food and art at school
2022-10-10,FHE with my ward
2022-10-09,For my headache that helped get me to bed at a good time so I would have an appropriate amount of sleep
2022-10-08,"Ben Davis taking me to work so I wouldn't be super late by taking the bus
I got there early!

Help from God with homework
Finishing 3 assignments and feeling good about my work!

Excitement for attending the Deaf ward tomorrow!"
2022-10-07,"Mom paying for some of my groceries

My wonderful mission reunion and of course mission president"
2022-10-06,"My institute class, a day off from work"
2022-10-04,An improved grade in geology I believe because I turned to God with a broken heart as inspired by Mormon 2:14 (https://www.churchofjesuschrist.org/study/scriptures/bofm/morm/2?id=p14&lang=eng#p14).
2022-10-03,"A powerful spiritual experience this morning
Learning in geology class"
2022-10-02,"The Spirit and joy from general conference, spending time with my family"
2022-10-01,General Conference and the opportunity to watch a session in ASL with some Deaf friends
2022-09-30,Switching my work schedule to today so I can watch general conference tomorrow
2022-09-29,"The elevator was ready for me when I was late leaving for school

Sign language practice with friends

Work"
2022-09-28,"Seeing Taylor Allan
Cleaning the temple"
2022-09-27,"The spirit making real to me God's love despite what I do
I've known and taught it, but today walking home, I felt it.

I make mistakes even willingly, but God's anger *is* turned away and His hand is stretched out still.
(See 2 Nephi 19:12)"
2022-09-26,"The opportunity to study the scriptures this morning for 15 minutes
A better morning overall
Having extra time to do homework because I got to school early

A wonderful time with my ward at Cornbellys in Spanish Fork"
2022-09-25,A good Sunday
2022-09-23,"Getting my pants sewn, getting to class before the class went in and the teacher took role (I sewed my pants then got dressed in them for dance class.)"
2022-09-22,"Getting on the bus when it was about to leave
 Making it to work on time"
2022-09-21,"God watching out for me including prompting a sign language classmate to choose me as a partner and being able to film for our homework right then and there after class

Mom and flavored instant oatmeal"
2022-09-20,"Dinner with Grandma and Grandpa Zundel, and Sam"
2022-09-19,Kind people at the window at work that gave me chocolate
2022-09-18,"Ward prayer, the temple"
2022-09-17,A living prophet to guide us
2022-09-16,Still being able to turn my homework in when it was late and I'd already gotten an extended on it
2022-09-15,"More club rush, food vouchers, and seeing my brother Will at the UVU library"
2022-09-14,"Being able to serve Val (and Gina) not knowing beforehand that Val was struggling

Club rush"
2022-09-12,"Erin saying hi to me when she saw me in the library

Miracles that came in a unique way:
People are not coming into work so having extra hours in my paycheck
My groceries with yogurt included getting delivered late. I was going to be home when they were delivered (I have a free trial that includes free grocery delivery from Walmart). They have been delayed, and I stayed at work longer today."
2022-09-11,Visiting with my family and having dinner
2022-09-10,"Work

Lessons learned
I was wanting to deliver something to Val and Genia in North Orem (I am in South Orem). I was going to after work, but I figured in the travel to the store and then their house. It would have to work out perfectly for me not to be late home for a missionary visit so I put it off. I got home and had the thought to go back to the store which was close by bus to work where I had just come home from. I waited for a bit and then calculated I wouldn't be back on time for a lesson.
It turned out that Joiner didn't answer and so the missionaries came by and checked in with me to see if he answered for a lesson, then left.
I saw opportunities afterwards that showed it would have been possible to visit Val and Genia and have the missionaries over. I believe this was a test from the Lord allowing me to take a leap of faith when it seemed that it wouldn't be possible to do two of the things I had to do."
2022-09-09,"ASL practice with Kya

A date with Ashley, institute activities so I had a good date option"
2022-09-08,"Finding a peaceful happiness after institute that couldn't come from anywhere else but the Spirit

Technology to help me do my homework

 Catching the training when my phone said I had a minute to catch it and I had just gotten off the bus"
2022-09-07,The elevators ready for me on both sides of the pedestrian bridge when I was late to class
2022-09-06,Catching the bus on time
2022-09-05,"I missed the fastest bus home coming home from work so I took the next fastest. When I was nearing a stop, the bus said I could transfer to UVX. I knew that bus could take me home, and may be faster than continuing on the bus to Provo I was already on then taking the train to Orem next to where I lived.

I looked it up on the transit app and sure enough it would be faster. I got off the bus and had about 2 minutes it said to catch the next bus so I waited at the crosswalk and was able to cross and catch the bus!

I realized getting off the bus with it being the Labor Day holiday, that I may miss the bus and have to wait 30 minutes as opposed to 10 on a normal day to catch it again, but I was able to catch it and get home on time. :)"
2022-09-04,"Church, the temple, general conference, the Spirit"
2022-09-02,"Fidel from Walmart delivering my groceries tonight

Having a free trial of Walmart+ so I didn't have to pay extra for someone coming to my door with groceries"
2022-09-01,Feedback from my ASL teacher on how to improve
2022-08-30,"Homework I have been able to work on and focus on
Baking brownies with Travis and doing homework with him"
2022-08-29,"Work, getting to class and still being able to learn though I was late"
2022-08-27,Getting to communicate with my classmates in ASL while doing my homework and finding joy in doing so
2022-08-26,"My dance class going better than I expected (I was concerned about it at first)
Getting homework done"
2022-08-25,"Pulled pork sliders at the institute building

The Spirit encouraging me to sleep"
2022-08-23,Institute classes and the building
2022-08-22,The first day of school
2022-08-21,The opportunity to be in the stake choir
2022-08-20,Serving in the temple for the last time on a Saturday (I'll still serve every first Tuesday in the ASL endowment session which is exciting!)
2022-08-19,My Father's blessing today
2022-08-18,The opportunity to serve and help people move in
2022-08-17,"The joy the Spirit brings because of the gospel and the Savior
The talk “Give Heed to the Words of the Prophets”"
2022-08-16,Inspiration to make the most out of institute this semester and to learn more about the Savior
2022-08-15,FHE
2022-08-14,"Getting a gallon of milk after Munch and Mingle from the Pratts so I don't have to go and buy some from the store now. I have just run out.

I got my textbook today for Geology. I'm thankful for that and for the person who had to work today to deliver it. I was expecting it tomorrow.

Giving the gallon of milk I received to my roommate Colin who is needing to go shopping soon"
2022-08-13,Serving in the temple
2022-08-12,"Carpet cleaners

My coworkers' help tonight in a very busy, stressful night with a LOT of food orders and only 3 or 4 of us at a time working"
2022-08-11,Good grades and teacher feedback
2022-08-10,"Getting my textbook list together for school, two free textbooks from a classmate who previously took the ASL classes I will"
2022-08-09,ASL class
2022-08-08,"Faith, the Spirit, joy in institute and ASL classes, my ward and bishop, our ward hike tonight"
2022-08-07,"My family and the wonderful church service we had this morning with two other wards that cover our apartment complex.

Our ward, the 37th, will add to the G building, building D floors 3 and 4."
2022-08-06,Serving in the baptistry at the Provo Temple today
2022-08-05,Misty bringing cupcakes for my birthday that was 2 days ago
2022-08-03,"I'm thankful for the elevator coming right away today instead of going down first like I thought it would.

A For the Strength of Youth magazine I found in the institute building

A nice lady at work, said I had clean nails for a man

Visiting my family this evening"
2022-08-02,Lunch with grandma and grandpa Zundel at Cracker Barrel and seeing Deborah working there
2022-08-01,"The opportunity to go shopping and get food and mom paying for my tuition

  Travis helping me carry my groceries inside when I met him in the parking lot"
2022-07-31,Baking banana bread and playing games with Taylor Allen
2022-07-30,Joy in the temple
2022-07-29,A new apartment roommate (across from my bedroom)
2022-07-28,"Running into again a man I met at church this last Sunday
He may come again or go to his home ward in Salt Lake. Sunday he came because he was new and had just moved in somewhere, but didn't know when his ward met, so he joined ours."
2022-07-27,Meeting the young man I first met at church lady Sunday
2022-07-22,"Kind people, a raise, and the opportunity to work"
2022-07-21,Goals
2022-07-20,Patience and kindness from the Spirit in a situation where it could have been easy not to be patient or kind
2022-07-19,The opportunity to go to the temple today with my ward.
2022-07-18,FHE
2022-07-17,A very wonderful time at church today
2022-07-16,Visiting with my family today
2022-07-15,Talking with my brother Sam today
2022-07-14,My ASL teacher and class
2022-07-13,"Getting to work early even though it seemed I would be late

Seeing Dustin at work

The Spirit

The gospel

The scriptures

The bus stopping at the mall for a minute and me noticing to get off the bus to transfer as I was going home."
2022-07-12,Understanding the scriptures with the Spirit and making great connections
2022-07-11,Talking to Zach Hale at the bus stop
2022-07-10,"The Spirit's guidance and God's forgiveness

Ward prayer and being able to socialize"
2022-07-09,The endowment session I attended at the temple and the love and Spirit I felt afterwards
2022-07-07,"Catching my transfer bus right before the light turned green and it got to the bus stop

Seeing a girl on the bus today that was so kind at Burger King a year ago to a customer"
2022-07-06,"Being less late to work than I expected

The kind lady at the drive-thru that complemented me on the good job I was doing and how she was really impressed"
2022-07-05,Getting to work early today and an hour early yesterday with a new manager
2022-07-04,Visiting with family
2022-07-03,The patriotic service tonight
2022-07-01,Being able to finish my training videos for work
2022-06-29,The miraculous things I learned and felt in institute today!
2022-06-28,"I was walking to the bus today and was trying to get it so I wouldn't be too late to work. The lady driving watched me as I came up to the bus and as soon as I got in, closed the doors and drove off. I was thankful that I caught the bus in time.

Being safe while crossing the street to get to work"
2022-06-27,Making banana bread with Ben Davis today
2022-06-26,"My family and ward prayer
My family ward evening get together"
2022-06-25,Seeing Dad in the temple as I was working there
2022-06-24,"Being on time to work
Getting through a stressful work day"
2022-06-23,Progress on my homework!
2022-06-22,"Getting along better with my coworker Rory
He's learning and I let him take orders and learn which he appreciated."
2022-06-21,"It was a stressful day today, but there were some good parts that made it worth it in the end. There were some kind people at the window including a man joking that he wanted a Big Mac at Burger King. He was happy and helped me become happier.

My mom who was thinking of me and gave me some nice whole wheat bread and produce for me when I was running low."
2022-06-20,"Putting forth effort to catch the bus after waiting to cross the street today and catching it as it was about to drive away

A kind person I met today taking the bus home.  She recognized me and commented about how I'm always on the bus but usually on the 850. I was on the 842 because it would take me home faster this time. That was a good part of the day the lady that recognized me."
2022-06-19,Ward Council and the visit with my immediate family and Mom's parents for Father's Day
2022-06-18,The temple
2022-06-17,"Frozen and ready to eat spaghetti

ASL tutoring lab today with Connor a classmate"
2022-06-16,ASL class
2022-06-15,"The Spirit reminding me to wash clothes, but still providing clean clothes for me on the way
I never finished a test for my ASL class, but my teacher in his mercy let me finish even though it had been about two weeks. For that I was grateful."
2022-06-14,The scriptures and an institute class with students who can help answer my questions
2022-06-13,FHE
2022-06-12,"A wonderful, reassuring sacrament meeting"
2022-06-11,The scriptures and the Spirit guiding me to study them
2022-06-10,The dinner with my YSA ward
2022-06-09,The opportunity to help my friends and classmates
2022-06-08,Institute today
2022-06-07,The miracle and joy of serving in the temple
2022-06-06,"The opportunity to serve others

I got on the wrong UVX bus today to go home and missed the next stop to get off. I waited for the next stop and hopped off right as the other bus pulled up. I stood on the pedestrian median and got into the other bus when the doors opened. It was a huge miracle for me. I may even get home earlier than I had planned originally when I had put the bus schedule and my activities into my calendar yesterday."
2022-06-05,God giving me service opportunities and providing me a way to accomplish them
2022-06-04,Working at the temple and spending a good amount of consecutive time in one spot there
2022-06-03,"Getting to work early again when I expected to be 3 minutes late. I was almost 10 minutes early

Having enough people for the first time in a while so we could each just run one station comfortably.

Finding my key today. I lost the door key that I scan to get me into my apartment building, and into the front door of my apartment.
I came back from doing laundry and found it near the front mat"
2022-06-02,"Praying to catch the bus or at least be on time for school today and then running and working hard, doing my part and making the bus"
2022-06-01,Institute and my ASL class
2022-05-31,Learning more ASL one on one with an interpreter who is one of the temple workers that will be in the ASL endowment session with me Tuesday.
2022-05-30,"Family
The Spirit"
2022-05-29,Visiting my family
2022-05-28,"Thanking Heavenly Father for the people who take care of the beautiful temple grounds, then meeting a service missionary on the bus coming back from the temple as well who takes care of the grounds."
2022-05-27,"Leaving later for work than I have before and miraculously getting here earlier and right on time instead of a little late like in the past
This was a sign to me that God still loves me (and always will) and that He is still very much present in my life."
2022-05-26,Hearing Rick Astley's song at work and thinking of my friend Deborah who loves his music
2022-05-25,When I got off one bus to get on to another bus as soon as I got to the bus stop the bus came.
2022-05-24,Forgiveness from God
2022-05-23,Visiting my family for my sister Sophie's birthday
2022-05-22,The opportunity to minister to MJ
2022-05-21,Today I’m grateful for finding my glasses when I had lost them.
2022-05-20,Getting my homework assignments done
2022-05-19,Meeting and talking with the man near the bus stop
2022-05-18,"Institute especially the second class I was invited to by Marly.

I had one I was registered for this morning, but also went to one I was invited to this evening."
2022-05-17,The opportunity to practice the endowment in ASL at the temple in preparation for June 7th when deaf people will come in for an endowment session
2022-05-16,Going to FHE and the chance to minister to others by saying hi and inviting them to a ward activity Brother Pratt is putting on
2022-05-15,"Being at the devotional in Salt Lake President Nelson will speak at

Having the potential to help out at an ASL session at the temple

President and Sister Nelson's devotional!"
2022-05-14,Getting to the temple even though I was late
2022-05-13,CARES Act funding (COVID-19 relief money) for school
2022-05-12,The scriptures and the Spirit I feel reading them
2022-05-11,Good people I can spend time with watching Avatar the Last Airbender series at Ben Davis's apartment
2022-05-10,"Getting to work less late than I thought I might when I left late

The Spirit reminding me of scriptures that I can link to other ones I am reading"
2022-05-09,"Work and FHE

Good books to read

Work and good friends and coworkers

Making Travis's day because I listened to the Spirit"
2022-05-08,"Colin coming to church.

Free food at Munch and Mingle

Giving Ben Davis a chocolate bar for his birthday I'd asked Mom to get and seeing him really happy

Being home with my family

Spending time with my mom's parents and immediate family for Mother's day then coming home and being with my family

Getting to work tomorrow"
2022-05-07,The great day of joy and miracles!
2022-05-06,"Come, Follow Me study with my family and cheap textbooks"
2022-05-05,The Spirit helping me understand the scriptures and to be edified
2022-05-04,Friends
2022-05-03,"The Come, Follow Me scripture study manual and the fact that I can listen to it"
2022-05-02,"God's love, and the Spirit still guiding me"
2022-05-01,The Spirit I felt at church today
2022-04-30,"Mom getting groceries for me when I was struggling to make time to shop myself because of school, but needed food. 

Mom is in a harder situation than me taking care of my siblings and doing school work."
2022-04-28,"Getting to go to an institute activity to learn about CORE (Center of Religious Experience) which I am going to be a part of and eating and hanging out with people
I was a litte quiet, but it was nice interacting and playing games."
2022-04-27,Making good progress on my paper and it looking easier than I originally thought
2022-04-26,"Giving eclairs to Nellie for her birthday that was Saturday

Talking to Natalie West, a high school friend/acquaintance while at UVU waiting for the bus to come"
2022-04-25,FHE
2022-04-24,"The blessing I received from God through Travis

Visiting my family for dinner after institute graduation

Getting eclairs from Brother Pratt to deliver to Nellie"
2022-04-23,Serving in the baptistry in the temple
2022-04-22,"Marly's kindness
Offering me a ride to school (though I wasn't going yet)
Giving me a ride home from school after our astrononomy class"
2022-04-21,"Spiritual promptings
Some focus to get homework done"
2022-04-20,Getting a nice UVU shirt and Chick-fil-A food when I went to the location at UVU where they usually just give us pizza
2022-04-19,"I'm thankful for the miracle that occurred today with me being able to do my homework. Last night, I finished an assignment that was technically due a few weeks ago, but open so I could try it again if desired for a better score.
Today I moved on to an assignment that brings me one step closer to getting started on my 5 page history paper that's due this Friday. I got some good help on starting this paper outline assignment and some inspiration helping me to move forward.

The bigger miracle in my eyes today occurred when I sat down at the library to work on my astronomy paper. I started typing, and the words and ideas flowed easily. I was focused thanks to the Spirit and perhaps my medication for ADHD as well which I had taken right before leaving for history class."
2022-04-18,"Being able to share a memory/phrase from my mom with Landon a classmate in my health class that was an uplift to him and something he really needed today.
It was just a fun memory that came to mind and I spoke, but it seemed to make such a difference to him."
2022-04-17,Spending time with my family
2022-04-16,Working at the temple after going to an endowment session with Ben Davis and his friend Jayden
2022-04-15,An ASL night with dinner and story telling
2022-04-14,"The inspiration to grab a mask just in case and then coming out and being able to catch the bus within a minute of getting to the bus stop instead of walking like I'd planned

""Surely the Lord is in this place.""
- Jacob in Genesis 28:16"
2022-04-13,Finding out that I will work at the temple as an ordinance worker the day before Easter which is when Christ was with and taught the spirits in the Spirit World
2022-04-12,"The Spirit

I was blessed to be able to get temple clothing with Mom today in preparation for serving in the temple this Saturday.
Having a nice person help me in Deseret Book and having a nice, Spirit-inviting environment
Getting the temple clothing for half off (about $100 after discount for everything!) AND having Mom pay for it all

I also had my faith strengthened through the Spirit I felt reading a post of a friend's family member's family who was hurting. They shared their faith in Christ and how we could support them appropriately.
https://cancercopingandtheeverydaymaces.blogspot.com/2022/04/the-first-3-days-enhanced-copy-of-our.html?m=1

Missing my bus stop but then catching the next one and being in front of the building I needed to be in

Catching the elevator right before it closed and getting to class on time"
2022-04-11,"The opportunity to put together Easter baskets at the institution building for families in need
The blessing of serving Briana and Erin by giving them mangoes"
2022-04-10,Church
2022-04-09,The blessing of serving Deborah and the miracles that allowed me to do so
2022-04-08,Barely catching the bus
2022-04-06,Mom bringing food and it being the exact kind I wanted
2022-04-05,Extra time on assignments
2022-04-04,"The Lord's reminder of how proud He is of me and the love it brings
Also the desire to become better it brings and the ability to repent in the first place!"
2022-04-03,"Prophets, Apostles, and others who love me"
2022-04-02,"My friend Deborah
My family
General Conference"
2022-04-01,"Becoming a  temple worker

Learning that a member of the temple presidency and his wife served a mission in Ukraine who is under attack now. My Dad served in Russia and the Russian government is attacking Ukraine. There are great people with hearts tied there. I'm thankful to know them and their kindness and love."
2022-03-31,God's love and repentance
2022-03-30,"The elevator being on my level at both sides of the Pedestrian  Bridge so I could get my bike across more quickly
---
The conversation I had with Gena about general conference"
2022-03-29,Again the great blessing of ministering
2022-03-28,In-class preparation session for the astronomy quiz on Friday
2022-03-27,"The miracle of ministering
----
The miracle of the Savior keeping me on the covenant path, helping me to serve others and become better.

When I rebelled and did what I wanted to on my computer instead of homework, or what the Spirit told me to do, I knew the Savior was leading me towards better things and protecting me from worse decisions."
2022-03-26,One more grocery trip and a wonderful family
2022-03-25,A shopping trip with Mom
2022-03-24,"God's help in my schooling.
He has helped me learn ASL and get good grades in all my classes even miraculously in the difficult ones when my grades have gone down "
2022-03-23,"Compliments from kind people

Mary in my ASL class said facial hair looks good on me. I will still keep shaving despite that, but it was nice."
2022-03-22,"Getting a shower in today!

Food I already prepared ready for me in the freezer for dinner"
2022-03-21,Catching the bus on time
2022-03-20,Good messages in stake conference (church)
2022-03-19,"I'm thankful for Walmart workers who were quick in fulfilling my order. I went shopping, realized they didn't have something in store, and placed an order through the app. By the time I was done shopping they had it for me. It was a whole 2 hours early and I wasn't going to pick it up till Monday. It relieved a lot of stress."
2022-03-18,Devotionals
2022-03-17,"Kind people

Inspired missionary lessons"
2022-03-16,Following inspiration from God and seeing someone happy because of it
2022-03-15,Computers
2022-03-14,Washing machines
2022-03-13,I am thankful for the door that stayed unlocked long enough for me to open it when my hands were full.
2022-03-12,Inspiration from God
2022-03-09,The temple
